category,info,lat,lon,marker_size,marker_color,label,tool_tip
Device,G2 420-2|BG16653|smart_tractor|Agriculture Capital|128.59 hours,-35.8086853,145.7975159,2,red,,G2 420-2|BG16653|smart_tractor|Agriculture Capital|128.59 hours|2|##########|02.513.00.04.442
Device,AC-TRC-DE-115G|BG16682|smart_tractor|Agriculture Capital|128.54 hours,-35.6744308,145.7853851,2,red,,AC-TRC-DE-115G|BG16682|smart_tractor|Agriculture Capital|128.54 hours|2|##########|02.513.00.04.442
Device,Tractor 11|BG18806|smart_tractor|AgriMACS - White Alpha II|146.59 hours,47.2782097,-119.6038742,2,red,,Tractor 11|BG18806|smart_tractor|AgriMACS - White Alpha II|146.59 hours|2|##########|02.504.01.00.429
Device,"KUB39|BG14198|smart_tractor|Batth Farms, Inc|146.46 hours",36.5307579,-119.9311905,2,red,,"KUB39|BG14198|smart_tractor|Batth Farms, Inc|146.46 hours|2|##########|02.504.01.00.429"
Device,"KUB138|BG14417|smart_tractor|Batth Farms, Inc|146.59 hours",36.5310478,-119.9304962,2,red,,"KUB138|BG14417|smart_tractor|Batth Farms, Inc|146.59 hours|2|##########|02.504.01.00.429"
Device,"KUB120|BG14544|smart_tractor|Batth Farms, Inc|146.59 hours",36.5308266,-119.9311523,2,red,,"KUB120|BG14544|smart_tractor|Batth Farms, Inc|146.59 hours|2|##########|02.504.01.00.429"
Device,"KUB115|BG13124|smart_tractor|Batth Farms, Inc|146.46 hours",36.5327721,-119.8864975,2,red,,"KUB115|BG13124|smart_tractor|Batth Farms, Inc|146.46 hours|2|##########|02.504.01.00.429"
Device,"KUB130|BG13163|smart_tractor|Batth Farms, Inc|146.47 hours",36.531723,-119.930191,2,red,,"KUB130|BG13163|smart_tractor|Batth Farms, Inc|146.47 hours|2|##########|02.504.01.00.429"
Device,AB1193|BG20005|smart_tractor|Columbia Farm Services - Orondo|146.56 hours,47.7285767,-120.1750259,2,red,,AB1193|BG20005|smart_tractor|Columbia Farm Services - Orondo|146.56 hours|2|##########|02.503.50.00.419
Device,AB1195|BG20104|smart_tractor|Columbia Farm Services - Orondo|146.59 hours,47.7289352,-120.1745377,2,red,,AB1195|BG20104|smart_tractor|Columbia Farm Services - Orondo|146.59 hours|2|##########|02.504.01.00.429
