category,info,lat,lon,marker_size,marker_color,label,tool_tip
Yard Tag Sweep,2 devices|0% NT|Palla Farms,35.250790019047614,-118.86025856190479,2,#008000,0/2,Company: Palla Farms\nNT/Devices: 0/2 [0%]
Yard Tag Sweep,13 devices|15% NT|Bays Ranch Inc,37.521223739999996,-121.22390174749998,3.230769230769231,#2c9300,2/13,Company: Bays Ranch Inc\nNT/Devices: 2/13 [15%]
Yard Tag Sweep,14 devices|7% NT|AgriMACS - MHO,47.247694930177516,-119.90167033017751,2.571428571428571,#138900,1/14,Company: AgriMACS - MHO\nNT/Devices: 1/14 [7%]
Yard Tag Sweep,5 devices|0% NT|Letizia Farming LLC,36.67351405333333,-119.48237711333334,2,#008000,0/5,Company: Letizia Farming LLC\nNT/Devices: 0/5 [0%]
Yard Tag Sweep,4 devices|25% NT|Travaille & Phippen,37.79287449583333,-121.10751199166667,4.0,#50a000,1/4,Company: Travaille & Phippen\nNT/Devices: 1/4 [25%]
Yard Tag Sweep,5 devices|20% NT|Caymus Vineyards,38.22631227,-122.09706954999999,3.6,#3d9900,1/5,Company: Caymus Vineyards\nNT/Devices: 1/5 [20%]
Yard Tag Sweep,11 devices|0% NT|Bullseye Farming,38.63436978333334,-121.83600592,2,#008000,0/11,Company: Bullseye Farming\nNT/Devices: 0/11 [0%]
Yard Tag Sweep,5 devices|20% NT|Ron Tadlock Farms,38.82373917222222,-121.91154903333333,3.6,#3d9900,1/5,Company: Ron Tadlock Farms\nNT/Devices: 1/5 [20%]
Yard Tag Sweep,2 devices|0% NT|Dynamic Ag Inc.,39.1127788,-121.67974745714285,2,#008000,0/2,Company: Dynamic Ag Inc.\nNT/Devices: 0/2 [0%]
Yard Tag Sweep,3 devices|33% NT|Dynamic Ag Inc.,39.285853851612906,-121.75341156451611,4.666666666666666,#70aa00,1/3,Company: Dynamic Ag Inc.\nNT/Devices: 1/3 [33%]
Yard Tag Sweep,5 devices|40% NT|Stahlbush Island Farms,44.57405420192307,-123.19213163269231,5.2,#8fb300,2/5,Company: Stahlbush Island Farms\nNT/Devices: 2/5 [40%]
